URL,Candidate,Label
https://thediplomat.com/2024/01/where-does-anies-baswedan-stand-on-indonesias-foreign-policy/,Anies Baswedan,4 stars
https://thediplomat.com/2024/01/where-does-anies-baswedan-stand-on-indonesias-foreign-policy/,Prabowo Subianto,4 stars
https://thediplomat.com/2024/01/where-does-anies-baswedan-stand-on-indonesias-foreign-policy/,Ganjar Pranowo,4 stars
https://apnews.com/article/indonesia-interview-presidential-candidate-a76cbee3c13f1a54a4b4d194f3ef116b,Anies Baswedan,4 stars
https://apnews.com/article/indonesia-interview-presidential-candidate-a76cbee3c13f1a54a4b4d194f3ef116b,Prabowo Subianto,2 stars
https://apnews.com/article/indonesia-interview-presidential-candidate-a76cbee3c13f1a54a4b4d194f3ef116b,Ganjar Pranowo,4 stars
https://www.deccanherald.com/world/indonesian-presidential-candidate-anies-baswedan-plans-renewables-fund-2782086,Anies Baswedan,1 star
https://www.deccanherald.com/world/indonesian-presidential-candidate-anies-baswedan-plans-renewables-fund-2782086,Prabowo Subianto,4 stars
https://www.deccanherald.com/world/indonesian-presidential-candidate-anies-baswedan-plans-renewables-fund-2782086,Ganjar Pranowo,4 stars
https://www.thejakartapost.com/indonesia/2024/02/08/anies-election-dark-horse-who-opposes-moving-capital.html,Anies Baswedan,3 stars
https://www.thejakartapost.com/indonesia/2024/02/08/anies-election-dark-horse-who-opposes-moving-capital.html,Prabowo Subianto,1 star
https://www.thejakartapost.com/indonesia/2024/02/08/anies-election-dark-horse-who-opposes-moving-capital.html,Ganjar Pranowo,4 stars
https://www.rsis.edu.sg/rsis-publication/idss/ip23086-anies-baswedan-and-the-2024-presidential-election-preserving-the-right-capturing-the-middle/,Anies Baswedan,4 stars
https://www.rsis.edu.sg/rsis-publication/idss/ip23086-anies-baswedan-and-the-2024-presidential-election-preserving-the-right-capturing-the-middle/,Ganjar Pranowo,2 stars
https://en.tempo.co/read/1827506/anies-baswedan-vows-huge-investment-in-culture-like-south-korea-in-1980s,Anies Baswedan,5 stars
https://voi.id/en/bernas/338943,Anies Baswedan,1 star
https://www.thejakartapost.com/opinion/2023/12/26/analysis-conservative-ulamas-endorsement-cuts-both-ways-for-candidate-anies.html,Anies Baswedan,4 stars
https://www.thejakartapost.com/opinion/2023/12/26/analysis-conservative-ulamas-endorsement-cuts-both-ways-for-candidate-anies.html,Prabowo Subianto,1 star
https://www.thejakartapost.com/opinion/2023/12/26/analysis-conservative-ulamas-endorsement-cuts-both-ways-for-candidate-anies.html,Ganjar Pranowo,3 stars
https://www.thejakartapost.com/indonesia/2024/01/13/anies-promises-equal-opportunities-for-entrepreneurs.html,Anies Baswedan,4 stars
https://www.metrotvnews.com/play/NleCpWo9-pernyataan-pamungkas-ketiga-capres-di-debat-perdana-pilpres-2024,Anies Baswedan,1 star
https://www.metrotvnews.com/play/NleCpWo9-pernyataan-pamungkas-ketiga-capres-di-debat-perdana-pilpres-2024,Prabowo Subianto,2 stars
https://www.metrotvnews.com/play/NleCpWo9-pernyataan-pamungkas-ketiga-capres-di-debat-perdana-pilpres-2024,Ganjar Pranowo,1 star
https://tirto.id/pernyataan-pamungkas-anies-di-debat-pertama-pilpres-2024-gTkA,Anies Baswedan,1 star
https://tirto.id/pernyataan-pamungkas-anies-di-debat-pertama-pilpres-2024-gTkA,Prabowo Subianto,4 stars
https://tirto.id/pernyataan-pamungkas-anies-di-debat-pertama-pilpres-2024-gTkA,Ganjar Pranowo,4 stars
https://www.indiatoday.in/movies/celebrities/story/sonakshi-sinha-hugs-salman-khan-asks-rekha-not-to-cry-in-wedding-party-video-2565083-2024-07-11,Salman,4 stars
https://www.dnaindia.com/hollywood/report-world-s-richest-actress-jami-gertz-net-worth-rs-66000-crore-no-hits-richer-than-shah-rukh-khan-salman-prabhas-3096446,Salman,1 star
